n, dr =  1000  ????
ind   r               v               rho             Er
0168  1.33793189E+11  9.20994607E+07  2.54781659E-11  4.34437700E+05
0169  1.34318142E+11  9.25204166E+07  2.51643854E-11  4.28546038E+05
0170  1.34845155E+11  9.29396399E+07  2.48554472E-11  4.22736923E+05
0171  1.35374236E+11  9.33571272E+07  2.45512577E-11  4.17009134E+05
0172  1.35905392E+11  9.37728755E+07  2.42517258E-11  4.11361467E+05
0173  1.36438633E+11  9.41868818E+07  2.39567622E-11  4.05792742E+05
0174  1.36973966E+11  9.45991433E+07  2.36662799E-11  4.00301798E+05
0175  1.37511399E+11  9.50096572E+07  2.33801939E-11  3.94887494E+05
0176  1.38050941E+11  9.54184209E+07  2.30984210E-11  3.89548707E+05
0177  1.38592600E+11  9.58254319E+07  2.28208802E-11  3.84284334E+05
0178  1.39136384E+11  9.62306880E+07  2.25474922E-11  3.79093290E+05
0179  1.39682302E+11  9.66341870E+07  2.22781794E-11  3.73974509E+05
0180  1.40230362E+11  9.70359267E+07  2.20128662E-11  3.68926941E+05
0181  1.40780572E+11  9.74359053E+07  2.17514787E-11  3.63949554E+05
0182  1.41332941E+11  9.78341210E+07  2.14939445E-11  3.59041333E+05
0183  1.41887477E+11  9.82305721E+07  2.12401928E-11  3.54201278E+05
0184  1.42444189E+11  9.86252572E+07  2.09901547E-11  3.49428408E+05
0185  1.43003085E+11  9.90181747E+07  2.07437624E-11  3.44721755E+05
0186  1.43564175E+11  9.94093236E+07  2.05009500E-11  3.40080369E+05
0187  1.44127465E+11  9.97987027E+07  2.02616527E-11  3.35503313E+05
0188  1.44692966E+11  1.00186311E+08  2.00258075E-11  3.30989665E+05
0189  1.45260686E+11  1.00572148E+08  1.97933523E-11  3.26538520E+05
0190  1.45830633E+11  1.00956212E+08  1.95642269E-11  3.22148984E+05
0191  1.46402816E+11  1.01338504E+08  1.93383719E-11  3.17820179E+05
0192  1.46977245E+11  1.01719023E+08  1.91157295E-11  3.13551240E+05
0193  1.47553927E+11  1.02097768E+08  1.88962430E-11  3.09341316E+05
0194  1.48132872E+11  1.02474740E+08  1.86798570E-11  3.05189567E+05
0195  1.48714089E+11  1.02849939E+08  1.84665172E-11  3.01095170E+05
0196  1.49297586E+11  1.03223364E+08  1.82561705E-11  2.97057310E+05
0197  1.49883372E+11  1.03595016E+08  1.80487648E-11  2.93075188E+05
0198  1.50471457E+11  1.03964896E+08  1.78442494E-11  2.89148015E+05
0199  1.51061849E+11  1.04333004E+08  1.76425742E-11  2.85275016E+05
0200  1.51654558E+11  1.04699342E+08  1.74436906E-11  2.81455424E+05
0201  1.52249592E+11  1.05063909E+08  1.72475507E-11  2.77688488E+05
0202  1.52846961E+11  1.05426706E+08  1.70541078E-11  2.73973465E+05
0203  1.53446674E+11  1.05787737E+08  1.68633159E-11  2.70309625E+05
0204  1.54048740E+11  1.06147000E+08  1.66751303E-11  2.66696247E+05
0205  1.54653168E+11  1.06504499E+08  1.64895068E-11  2.63132622E+05
0206  1.55259968E+11  1.06860234E+08  1.63064025E-11  2.59618052E+05
0207  1.55869148E+11  1.07214208E+08  1.61257750E-11  2.56151847E+05
0208  1.56480719E+11  1.07566421E+08  1.59475831E-11  2.52733330E+05
0209  1.57094689E+11  1.07916878E+08  1.57717862E-11  2.49361831E+05
0210  1.57711069E+11  1.08265579E+08  1.55983446E-11  2.46036693E+05
0211  1.58329866E+11  1.08612526E+08  1.54272194E-11  2.42757265E+05
0212  1.58951092E+11  1.08957724E+08  1.52583723E-11  2.39522908E+05
0213  1.59574755E+11  1.09301173E+08  1.50917661E-11  2.36332992E+05
0214  1.60200865E+11  1.09642877E+08  1.49273640E-11  2.33186894E+05
0215  1.60829432E+11  1.09982839E+08  1.47651302E-11  2.30084002E+05
0216  1.61460465E+11  1.10321061E+08  1.46050293E-11  2.27023713E+05
0217  1.62093974E+11  1.10657548E+08  1.44470269E-11  2.24005431E+05
0218  1.62729968E+11  1.10992301E+08  1.42910890E-11  2.21028570E+05
0219  1.63368458E+11  1.11325326E+08  1.41371825E-11  2.18092551E+05
0220  1.64009453E+11  1.11656625E+08  1.39852748E-11  2.15196805E+05
0221  1.64652964E+11  1.11986201E+08  1.38353339E-11  2.12340769E+05
0222  1.65298999E+11  1.12314060E+08  1.36873285E-11  2.09523889E+05
0223  1.65947568E+11  1.12640204E+08  1.35412278E-11  2.06745619E+05
0224  1.66598683E+11  1.12964639E+08  1.33970018E-11  2.04005420E+05
0225  1.67252352E+11  1.13287367E+08  1.32546208E-11  2.01302763E+05
0226  1.67908586E+11  1.13608394E+08  1.31140559E-11  1.98637122E+05
0227  1.68567395E+11  1.13927724E+08  1.29752784E-11  1.96007982E+05
0228  1.69228789E+11  1.14245362E+08  1.28382607E-11  1.93414834E+05
0229  1.69892778E+11  1.14561312E+08  1.27029751E-11  1.90857177E+05
0230  1.70559372E+11  1.14875579E+08  1.25693949E-11  1.88334516E+05
0231  1.71228581E+11  1.15188169E+08  1.24374936E-11  1.85846362E+05
0232  1.71900417E+11  1.15499086E+08  1.23072453E-11  1.83392234E+05
0233  1.72574888E+11  1.15808335E+08  1.21786246E-11  1.80971659E+05
0234  1.73252006E+11  1.16115922E+08  1.20516066E-11  1.78584169E+05
0235  1.73931780E+11  1.16421852E+08  1.19261667E-11  1.76229302E+05
0236  1.74614221E+11  1.16726131E+08  1.18022809E-11  1.73906604E+05
0237  1.75299341E+11  1.17028764E+08  1.16799256E-11  1.71615625E+05
0238  1.75987148E+11  1.17329758E+08  1.15590776E-11  1.69355925E+05
0239  1.76677654E+11  1.17629117E+08  1.14397142E-11  1.67127066E+05
0240  1.77370869E+11  1.17926848E+08  1.13218131E-11  1.64928618E+05
0241  1.78066805E+11  1.18222958E+08  1.12053522E-11  1.62760158E+05
0242  1.78765470E+11  1.18517451E+08  1.10903100E-11  1.60621266E+05
0243  1.79466878E+11  1.18810335E+08  1.09766655E-11  1.58511532E+05
0244  1.80171037E+11  1.19101615E+08  1.08643977E-11  1.56430547E+05
0245  1.80877959E+11  1.19391299E+08  1.07534864E-11  1.54377910E+05
0246  1.81587654E+11  1.19679392E+08  1.06439114E-11  1.52353226E+05
0247  1.82300135E+11  1.19965901E+08  1.05356531E-11  1.50356106E+05
0248  1.83015410E+11  1.20250833E+08  1.04286921E-11  1.48386163E+05
0249  1.83733493E+11  1.20534195E+08  1.03230095E-11  1.46443019E+05
0250  1.84454392E+11  1.20815994E+08  1.02185865E-11  1.44526300E+05
0251  1.85178121E+11  1.21096236E+08  1.01154049E-11  1.42635636E+05
0252  1.85904689E+11  1.21374928E+08  1.00134467E-11  1.40770664E+05
0253  1.86634107E+11  1.21652078E+08  9.91269407E-12  1.38931024E+05
0254  1.87366388E+11  1.21927692E+08  9.81312971E-12  1.37116364E+05
0255  1.88101542E+11  1.22201778E+08  9.71473651E-12  1.35326334E+05
0256  1.88839580E+11  1.22474343E+08  9.61749767E-12  1.33560589E+05
0257  1.89580514E+11  1.22745395E+08  9.52139672E-12  1.31818791E+05
0258  1.90324355E+11  1.23014940E+08  9.42641741E-12  1.30100605E+05
0259  1.91071115E+11  1.23282987E+08  9.33254382E-12  1.28405701E+05
0260  1.91820805E+11  1.23549542E+08  9.23976029E-12  1.26733754E+05
0261  1.92573436E+11  1.23814614E+08  9.14805141E-12  1.25084441E+05
0262  1.93329020E+11  1.24078209E+08  9.05740205E-12  1.23457449E+05
0263  1.94087569E+11  1.24340336E+08  8.96779733E-12  1.21852463E+05
0264  1.94849094E+11  1.24601002E+08  8.87922264E-12  1.20269177E+05
0265  1.95613607E+11  1.24860214E+08  8.79166358E-12  1.18707287E+05
0266  1.96381120E+11  1.25117982E+08  8.70510604E-12  1.17166494E+05
0267  1.97151644E+11  1.25374312E+08  8.61953610E-12  1.15646503E+05
0268  1.97925191E+11  1.25629212E+08  8.53494012E-12  1.14147023E+05
0269  1.98701774E+11  1.25882690E+08  8.45130464E-12  1.12667767E+05
0270  1.99481403E+11  1.26134755E+08  8.36861647E-12  1.11208453E+05
0271  2.00264092E+11  1.26385413E+08  8.28686260E-12  1.09768802E+05
0272  2.01049851E+11  1.26634673E+08  8.20603028E-12  1.08348539E+05
0273  2.01838694E+11  1.26882543E+08  8.12610692E-12  1.06947393E+05
0274  2.02630631E+11  1.27129031E+08  8.04708018E-12  1.05565096E+05
0275  2.03425676E+11  1.27374145E+08  7.96893791E-12  1.04201385E+05
0276  2.04223840E+11  1.27617893E+08  7.89166815E-12  1.02856001E+05
0277  2.05025136E+11  1.27860282E+08  7.81525915E-12  1.01528687E+05
0278  2.05829576E+11  1.28101322E+08  7.73969933E-12  1.00219191E+05
0279  2.06637173E+11  1.28341019E+08  7.66497733E-12  9.89272631E+04
0280  2.07447938E+11  1.28579383E+08  7.59108196E-12  9.76526591E+04
0281  2.08261884E+11  1.28816421E+08  7.51800220E-12  9.63951365E+04
0282  2.09079023E+11  1.29052141E+08  7.44572723E-12  9.51544569E+04
0283  2.09899369E+11  1.29286551E+08  7.37424638E-12  9.39303850E+04
0284  2.10722934E+11  1.29519660E+08  7.30354918E-12  9.27226891E+04
0285  2.11549730E+11  1.29751475E+08  7.23362531E-12  9.15311406E+04
0286  2.12379770E+11  1.29982004E+08  7.16446461E-12  9.03555143E+04
0287  2.13213067E+11  1.30211256E+08  7.09605709E-12  8.91955880E+04
0288  2.14049633E+11  1.30439238E+08  7.02839293E-12  8.80511429E+04
0289  2.14889481E+11  1.30665959E+08  6.96146246E-12  8.69219631E+04
0290  2.15732625E+11  1.30891426E+08  6.89525614E-12  8.58078359E+04
0291  2.16579077E+11  1.31115648E+08  6.82976461E-12  8.47085517E+04
0292  2.17428850E+11  1.31338633E+08  6.76497865E-12  8.36239036E+04
0293  2.18281958E+11  1.31560388E+08  6.70088918E-12  8.25536880E+04
0294  2.19138412E+11  1.31780921E+08  6.63748726E-12  8.14977040E+04
0295  2.19998228E+11  1.32000240E+08  6.57476410E-12  8.04557537E+04
0296  2.20861416E+11  1.32218354E+08  6.51271104E-12  7.94276418E+04
0297  2.21727992E+11  1.32435270E+08  6.45131955E-12  7.84131761E+04
0298  2.22597967E+11  1.32650995E+08  6.39058124E-12  7.74121670E+04
0299  2.23471356E+11  1.32865539E+08  6.33048785E-12  7.64244276E+04
0300  2.24348172E+11  1.33078907E+08  6.27103124E-12  7.54497737E+04
0301  2.25228428E+11  1.33291109E+08  6.21220340E-12  7.44880238E+04
0302  2.26112138E+11  1.33502152E+08  6.15399645E-12  7.35389989E+04
0303  2.26999315E+11  1.33712044E+08  6.09640261E-12  7.26025227E+04
0304  2.27889973E+11  1.33920791E+08  6.03941424E-12  7.16784214E+04
0305  2.28784126E+11  1.34128403E+08  5.98302381E-12  7.07665235E+04
0306  2.29681787E+11  1.34334886E+08  5.92722390E-12  6.98666603E+04
0307  2.30582971E+11  1.34540247E+08  5.87200720E-12  6.89786654E+04
0308  2.31487690E+11  1.34744496E+08  5.81736651E-12  6.81023746E+04
0309  2.32395959E+11  1.34947638E+08  5.76329476E-12  6.72376263E+04
0310  2.33307791E+11  1.35149681E+08  5.70978494E-12  6.63842611E+04
0311  2.34223201E+11  1.35350634E+08  5.65683020E-12  6.55421221E+04
0312  2.35142203E+11  1.35550502E+08  5.60442375E-12  6.47110544E+04
0313  2.36064811E+11  1.35749293E+08  5.55255893E-12  6.38909054E+04
0314  2.36991039E+11  1.35947015E+08  5.50122914E-12  6.30815249E+04
0315  2.37920901E+11  1.36143675E+08  5.45042792E-12  6.22827645E+04
0316  2.38854411E+11  1.36339280E+08  5.40014889E-12  6.14944783E+04
0317  2.39791584E+11  1.36533836E+08  5.35038574E-12  6.07165224E+04
0318  2.40732434E+11  1.36727352E+08  5.30113230E-12  5.99487547E+04
0319  2.41676976E+11  1.36919834E+08  5.25238244E-12  5.91910356E+04
0320  2.42625224E+11  1.37111289E+08  5.20413016E-12  5.84432271E+04
0321  2.43577192E+11  1.37301724E+08  5.15636951E-12  5.77051936E+04
0322  2.44532895E+11  1.37491146E+08  5.10909467E-12  5.69768010E+04
0323  2.45492349E+11  1.37679561E+08  5.06229986E-12  5.62579175E+04
0324  2.46455566E+11  1.37866977E+08  5.01597940E-12  5.55484131E+04
0325  2.47422563E+11  1.38053400E+08  4.97012772E-12  5.48481595E+04
0326  2.48393355E+11  1.38238837E+08  4.92473927E-12  5.41570304E+04
0327  2.49367955E+11  1.38423295E+08  4.87980864E-12  5.34749014E+04
0328  2.50346379E+11  1.38606779E+08  4.83533046E-12  5.28016497E+04
0329  2.51328642E+11  1.38789298E+08  4.79129944E-12  5.21371545E+04
0330  2.52314759E+11  1.38970856E+08  4.74771037E-12  5.14812964E+04
0331  2.53304746E+11  1.39151461E+08  4.70455813E-12  5.08339580E+04
0332  2.54298616E+11  1.39331119E+08  4.66183764E-12  5.01950234E+04
0333  2.55296386E+11  1.39509835E+08  4.61954391E-12  4.95643787E+04
0334  2.56298071E+11  1.39687618E+08  4.57767202E-12  4.89419111E+04
0335  2.57303687E+11  1.39864472E+08  4.53621711E-12  4.83275100E+04
0336  2.58313248E+11  1.40040404E+08  4.49517440E-12  4.77210658E+04
0337  2.59326770E+11  1.40215421E+08  4.45453916E-12  4.71224710E+04
0338  2.60344268E+11  1.40389527E+08  4.41430674E-12  4.65316193E+04
0339  2.61365759E+11  1.40562730E+08  4.37447255E-12  4.59484061E+04
0340  2.62391258E+11  1.40735034E+08  4.33503205E-12  4.53727282E+04
0341  2.63420781E+11  1.40906447E+08  4.29598079E-12  4.48044838E+04
0342  2.64454343E+11  1.41076974E+08  4.25731434E-12  4.42435727E+04
0343  2.65491960E+11  1.41246621E+08  4.21902837E-12  4.36898962E+04
0344  2.66533649E+11  1.41415393E+08  4.18111859E-12  4.31433567E+04
0345  2.67579425E+11  1.41583297E+08  4.14358077E-12  4.26038584E+04
0346  2.68629304E+11  1.41750338E+08  4.10641073E-12  4.20713064E+04
0347  2.69683302E+11  1.41916521E+08  4.06960437E-12  4.15456076E+04
0348  2.70741436E+11  1.42081853E+08  4.03315761E-12  4.10266699E+04
0349  2.71803721E+11  1.42246339E+08  3.99706645E-12  4.05144027E+04
0350  2.72870175E+11  1.42409984E+08  3.96132693E-12  4.00087165E+04
0351  2.73940813E+11  1.42572793E+08  3.92593516E-12  3.95095233E+04
0352  2.75015651E+11  1.42734773E+08  3.89088729E-12  3.90167362E+04
0353  2.76094707E+11  1.42895929E+08  3.85617951E-12  3.85302694E+04
0354  2.77177997E+11  1.43056266E+08  3.82180808E-12  3.80500387E+04
0355  2.78265537E+11  1.43215788E+08  3.78776929E-12  3.75759607E+04
0356  2.79357344E+11  1.43374503E+08  3.75405949E-12  3.71079535E+04
