n, dr =  1000  ????
ind   r               v               rho             Er
0166  1.32749430E+11  6.92951648E+07  5.55150647E-11  6.21520593E+05
0167  1.33270288E+11  6.94352861E+07  5.49708196E-11  6.13440727E+05
0168  1.33793189E+11  6.95745364E+07  5.44328130E-11  6.05471732E+05
0169  1.34318142E+11  6.97129236E+07  5.39009552E-11  5.97611953E+05
0170  1.34845155E+11  6.98504556E+07  5.33751581E-11  5.89859767E+05
0171  1.35374236E+11  6.99871398E+07  5.28553350E-11  5.82213576E+05
0172  1.35905392E+11  7.01229840E+07  5.23414013E-11  5.74671809E+05
0173  1.36438633E+11  7.02579955E+07  5.18332736E-11  5.67232921E+05
0174  1.36973966E+11  7.03921818E+07  5.13308701E-11  5.59895394E+05
0175  1.37511399E+11  7.05255500E+07  5.08341105E-11  5.52657734E+05
0176  1.38050941E+11  7.06581073E+07  5.03429162E-11  5.45518472E+05
0177  1.38592600E+11  7.07898608E+07  4.98572097E-11  5.38476164E+05
0178  1.39136384E+11  7.09208174E+07  4.93769151E-11  5.31529388E+05
0179  1.39682302E+11  7.10509842E+07  4.89019579E-11  5.24676748E+05
0180  1.40230362E+11  7.11803677E+07  4.84322646E-11  5.17916868E+05
0181  1.40780572E+11  7.13089748E+07  4.79677635E-11  5.11248396E+05
0182  1.41332941E+11  7.14368120E+07  4.75083837E-11  5.04670002E+05
0183  1.41887477E+11  7.15638859E+07  4.70540560E-11  4.98180377E+05
0184  1.42444189E+11  7.16902030E+07  4.66047120E-11  4.91778234E+05
0185  1.43003085E+11  7.18157695E+07  4.61602847E-11  4.85462306E+05
0186  1.43564175E+11  7.19405919E+07  4.57207082E-11  4.79231346E+05
0187  1.44127465E+11  7.20646762E+07  4.52859178E-11  4.73084129E+05
0188  1.44692966E+11  7.21880287E+07  4.48558500E-11  4.67019448E+05
0189  1.45260686E+11  7.23106554E+07  4.44304420E-11  4.61036115E+05
0190  1.45830633E+11  7.24325622E+07  4.40096325E-11  4.55132962E+05
0191  1.46402816E+11  7.25537552E+07  4.35933610E-11  4.49308839E+05
0192  1.46977245E+11  7.26742400E+07  4.31815680E-11  4.43562615E+05
0193  1.47553927E+11  7.27940225E+07  4.27741952E-11  4.37893175E+05
0194  1.48132872E+11  7.29131085E+07  4.23711851E-11  4.32299424E+05
0195  1.48714089E+11  7.30315034E+07  4.19724811E-11  4.26780282E+05
0196  1.49297586E+11  7.31492129E+07  4.15780277E-11  4.21334688E+05
0197  1.49883372E+11  7.32662424E+07  4.11877703E-11  4.15961597E+05
0198  1.50471457E+11  7.33825975E+07  4.08016550E-11  4.10659979E+05
0199  1.51061849E+11  7.34982834E+07  4.04196289E-11  4.05428822E+05
0200  1.51654558E+11  7.36133055E+07  4.00416400E-11  4.00267129E+05
0201  1.52249592E+11  7.37276689E+07  3.96676372E-11  3.95173917E+05
0202  1.52846961E+11  7.38413790E+07  3.92975699E-11  3.90148220E+05
0203  1.53446674E+11  7.39544408E+07  3.89313887E-11  3.85189088E+05
0204  1.54048740E+11  7.40668593E+07  3.85690447E-11  3.80295583E+05
0205  1.54653168E+11  7.41786396E+07  3.82104899E-11  3.75466782E+05
0206  1.55259968E+11  7.42897866E+07  3.78556770E-11  3.70701778E+05
0207  1.55869148E+11  7.44003053E+07  3.75045595E-11  3.65999677E+05
0208  1.56480719E+11  7.45102004E+07  3.71570917E-11  3.61359597E+05
0209  1.57094689E+11  7.46194767E+07  3.68132284E-11  3.56780672E+05
0210  1.57711069E+11  7.47281390E+07  3.64729252E-11  3.52262048E+05
0211  1.58329866E+11  7.48361919E+07  3.61361385E-11  3.47802883E+05
0212  1.58951092E+11  7.49436401E+07  3.58028251E-11  3.43402350E+05
0213  1.59574755E+11  7.50504881E+07  3.54729428E-11  3.39059633E+05
0214  1.60200865E+11  7.51567404E+07  3.51464497E-11  3.34773929E+05
0215  1.60829432E+11  7.52624016E+07  3.48233048E-11  3.30544446E+05
0216  1.61460465E+11  7.53674761E+07  3.45034675E-11  3.26370406E+05
0217  1.62093974E+11  7.54719682E+07  3.41868981E-11  3.22251040E+05
0218  1.62729968E+11  7.55758822E+07  3.38735572E-11  3.18185594E+05
0219  1.63368458E+11  7.56792225E+07  3.35634062E-11  3.14173321E+05
0220  1.64009453E+11  7.57819933E+07  3.32564069E-11  3.10213489E+05
0221  1.64652964E+11  7.58841988E+07  3.29525217E-11  3.06305375E+05
0222  1.65298999E+11  7.59858431E+07  3.26517137E-11  3.02448267E+05
0223  1.65947568E+11  7.60869303E+07  3.23539464E-11  2.98641464E+05
0224  1.66598683E+11  7.61874646E+07  3.20591839E-11  2.94884276E+05
0225  1.67252352E+11  7.62874498E+07  3.17673908E-11  2.91176020E+05
0226  1.67908586E+11  7.63868901E+07  3.14785321E-11  2.87516028E+05
0227  1.68567395E+11  7.64857893E+07  3.11925735E-11  2.83903638E+05
